;source;target;type;weight
0;adventure;t0;Undirected;0.19641573627578685
1;adventure;t1;Undirected;0.0017103128805696342
2;adventure;t2;Undirected;0.028940990605017543
3;adventure;t3;Undirected;0.0044425612062879045
4;adventure;t4;Undirected;0.0022725483745203896
5;adventure;t5;Undirected;0.2364699224886057
6;adventure;t6;Undirected;0.006447409109828457
7;adventure;t7;Undirected;0.07175554373564387
8;adventure;t8;Undirected;0.004065744787966508
9;adventure;t9;Undirected;0.0016808248721105722
10;adventure;t10;Undirected;0.00944758195850462
11;adventure;t11;Undirected;0.004135109588607755
12;adventure;t12;Undirected;0.0111214830485737
13;adventure;t13;Undirected;0.18562322714439766
14;adventure;t14;Undirected;0.12286465907175086
15;adventure;t15;Undirected;0.002653223362262033
16;adventure;t16;Undirected;0.06755073527091375
17;adventure;t17;Undirected;0.004894008946031181
18;adventure;t18;Undirected;0.0018478252276092602
19;adventure;t19;Undirected;0.035660552045011784
20;detective;t0;Undirected;0.14876709110084746
21;detective;t1;Undirected;0.00402821210447005
22;detective;t2;Undirected;0.08161077174390438
23;detective;t3;Undirected;0.023788012410333303
24;detective;t4;Undirected;0.004258099611287626
25;detective;t5;Undirected;0.2802182899744286
26;detective;t6;Undirected;0.02212637425846308
27;detective;t7;Undirected;0.13877596159558064
28;detective;t8;Undirected;0.010988518855511612
29;detective;t9;Undirected;0.0035044258471858547
30;detective;t10;Undirected;0.14555398280660736
31;detective;t11;Undirected;0.007573307352584438
32;detective;t12;Undirected;0.01990928978105272
33;detective;t13;Undirected;0.006644234121041556
34;detective;t14;Undirected;0.0017213072491166696
35;detective;t15;Undirected;0.00240405287727432
36;detective;t16;Undirected;0.012480748721035244
37;detective;t17;Undirected;0.07257294428971482
38;detective;t18;Undirected;0.008197596291094884
39;detective;t19;Undirected;0.0048767790084653494
40;historical;t0;Undirected;0.1988345320919669
41;historical;t1;Undirected;0.08162896856838864
42;historical;t2;Undirected;0.02357799523430624
43;historical;t3;Undirected;0.005663556134300625
44;historical;t4;Undirected;0.04831245370554246
45;historical;t5;Undirected;0.0270751585248258
46;historical;t6;Undirected;0.020016623015804102
47;historical;t7;Undirected;0.16860937803759174
48;historical;t8;Undirected;0.03346489957368692
49;historical;t9;Undirected;0.08840117114434684
50;historical;t10;Undirected;0.003588634628833451
51;historical;t11;Undirected;0.023050601450282437
52;historical;t12;Undirected;0.0030414200140984064
53;historical;t13;Undirected;0.0031670901646038852
54;historical;t14;Undirected;0.001134929652845581
55;historical;t15;Undirected;0.17262072262294273
56;historical;t16;Undirected;0.05184560163489441
57;historical;t17;Undirected;0.0021760417488084767
58;historical;t18;Undirected;0.041728432249399115
59;historical;t19;Undirected;0.002061789802531062
60;horror;t0;Undirected;0.10022137382901587
61;horror;t1;Undirected;0.003491942292614091
62;horror;t2;Undirected;0.07849773063946433
63;horror;t3;Undirected;0.21244541821471255
64;horror;t4;Undirected;0.0013454111688048981
65;horror;t5;Undirected;0.22108198837697693
66;horror;t6;Undirected;0.0035488341375733796
67;horror;t7;Undirected;0.2498165419022432
68;horror;t8;Undirected;0.0011292894808408024
69;horror;t9;Undirected;0.0022256597816130465
70;horror;t10;Undirected;0.008241542188866632
71;horror;t11;Undirected;0.008300185137253273
72;horror;t12;Undirected;0.021917646018779147
73;horror;t13;Undirected;0.004934422902373486
74;horror;t14;Undirected;0.05189724125869754
75;horror;t15;Undirected;0.002822596137564047
76;horror;t16;Undirected;0.007657311576497876
77;horror;t17;Undirected;0.007018584085051825
78;horror;t18;Undirected;0.006686728620257565
79;horror;t19;Undirected;0.006719552250799554
80;other;t0;Undirected;0.1280345050761631
81;other;t1;Undirected;0.001745981225813517
82;other;t2;Undirected;0.10330392958080736
83;other;t3;Undirected;0.007626079279550906
84;other;t4;Undirected;0.002537227451235227
85;other;t5;Undirected;0.1854670838325862
86;other;t6;Undirected;0.017695299092684403
87;other;t7;Undirected;0.18838838591144905
88;other;t8;Undirected;0.06443446412218508
89;other;t9;Undirected;0.005590016472746352
90;other;t10;Undirected;0.012065253695474766
91;other;t11;Undirected;0.013400100872387306
92;other;t12;Undirected;0.15950913902533168
93;other;t13;Undirected;0.009843459688299607
94;other;t14;Undirected;0.0054613398103917
95;other;t15;Undirected;0.00350230728039488
96;other;t16;Undirected;0.00830205276397474
97;other;t17;Undirected;0.03757276823021242
98;other;t18;Undirected;0.01441598495213538
99;other;t19;Undirected;0.03110462163617635
