pub-decade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1880s,0.12949846992370204,0.0016897647720241647,0.09517164158044691,0.010840270793438946,0.001927041281517386,0.26203504040296144,0.061311012985557085,0.1662068952220542,0.04113010659493228,0.003577047425299728,0.054547407497628694,0.02353686123429862,0.017797744285317448,0.012385530369571351,0.0022355728861725307,0.001858185281060323,0.016651768116413886,0.07317961316970825,0.01730955897428808,0.007110467203606651
1890s,0.16731316226933213,0.04468304878798557,0.06307040085926609,0.035438420365250016,0.028085735862544616,0.10787488152722247,0.013841592819397164,0.18007372542631675,0.03821499295091178,0.049572468770736615,0.011838513587696348,0.015457181328388199,0.06251260219964429,0.004998703101989965,0.008415852893344327,0.09392698462718087,0.03152720693175587,0.003027351054090724,0.02753992120931616,0.012587253427630094
1900s,0.15161312345162828,0.0027475740302368426,0.06385162620783888,0.005746804994487963,0.001131981402491213,0.3340844439349283,0.005878801973267113,0.11844304940322785,0.0007785671854087204,0.0038538459559278085,0.02140447208553111,0.007335829517736822,0.014646187093538605,0.009043794844076443,0.0012670066225533843,0.002540044040049015,0.008478049249560748,0.24020306729885021,0.0044077463669348,0.00254398434172594
1910s,0.17442624842400348,0.004079708010485145,0.031152544316333273,0.005803533259497071,0.0015633553403573029,0.23055509814035835,0.0066694178755825825,0.1033683288737592,0.003032271920385045,0.0019159376117780162,0.1346650614826566,0.004546930845200227,0.01549200499223574,0.11999131161020894,0.07930657742935392,0.0024848739187800567,0.04676204182245763,0.005824464828111378,0.0024469842960286505,0.0259133050024274
