subgenre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
adventure,0.19641573627578685,0.0017103128805696342,0.028940990605017543,0.004442561206287905,0.00227254837452039,0.23646992248860574,0.0064474091098284565,0.07175554373564388,0.004065744787966508,0.0016808248721105722,0.00944758195850462,0.004135109588607755,0.0111214830485737,0.18562322714439772,0.12286465907175083,0.0026532233622620334,0.06755073527091375,0.004894008946031181,0.00184782522760926,0.035660552045011784
detective,0.14876709110084746,0.004028212104470051,0.08161077174390438,0.023788012410333306,0.004258099611287626,0.2802182899744286,0.022126374258463078,0.13877596159558064,0.010988518855511612,0.0035044258471858543,0.14555398280660736,0.0075733073525844396,0.019909289781052716,0.006644234121041556,0.0017213072491166694,0.00240405287727432,0.012480748721035245,0.07257294428971482,0.008197596291094884,0.0048767790084653494
historical,0.1988345320919669,0.08162896856838864,0.023577995234306235,0.005663556134300625,0.04831245370554246,0.0270751585248258,0.020016623015804102,0.16860937803759174,0.03346489957368692,0.08840117114434684,0.003588634628833451,0.023050601450282433,0.0030414200140984064,0.003167090164603885,0.001134929652845581,0.17262072262294273,0.05184560163489441,0.0021760417488084767,0.04172843224939911,0.002061789802531062
horror,0.10022137382901587,0.003491942292614091,0.07849773063946433,0.21244541821471258,0.001345411168804898,0.22108198837697693,0.00354883413757338,0.24981654190224317,0.0011292894808408022,0.0022256597816130465,0.008241542188866632,0.008300185137253273,0.021917646018779147,0.004934422902373486,0.05189724125869754,0.002822596137564047,0.007657311576497877,0.007018584085051826,0.006686728620257566,0.006719552250799554
other,0.1280345050761631,0.001745981225813517,0.10330392958080735,0.007626079279550907,0.0025372274512352267,0.1854670838325862,0.017695299092684403,0.18838838591144902,0.06443446412218508,0.005590016472746352,0.012065253695474766,0.013400100872387306,0.15950913902533168,0.009843459688299607,0.0054613398103917,0.00350230728039488,0.00830205276397474,0.03757276823021242,0.01441598495213538,0.03110462163617635
